0,0
1,0
2,0
3,0
4,0
5,1815
6,0
7,380
8,0
9,0
10,360
11,0
12,67
13,0
14,6877
15,223
16,0
17,548
18,0
19,806
20,0
21,401
22,0
23,42
24,0
25,0
26,25
27,47
28,29
29,8398
30,0
31,3207
32,0
33,40
34,1112
35,0
36,3996
37,0
38,132
39,0
40,0
41,404
42,0
43,1386
44,0
45,157
46,0
47,7
48,40
49,35
50,36
51,27
52,21
53,9457
54,0
55,227
56,0
57,1360
58,0
59,860
60,0
61,3668
62,0
63,23
64,318
65,0
66,5193
67,6571
68,2728
69,0
70,104
71,36
72,55
73,77
74,16
75,48
76,68
77,2368
78,0
79,2391
80,0
81,1714
82,0
83,1263
84,0
85,7
86,343
87,0
88,773
89,0
90,522
91,0
92,0
93,481
94,0
95,388
96,0
97,462
98,0
99,44
100,116
101,0
102,34
103,110
104,0
105,295
106,0
107,461
108,0
109,84
110,150
111,34
112,354
113,0
114,2252
115,0
116,134
117,279
118,0
119,125
120,0
121,41
122,29
123,0
124,25
125,462
126,0
127,23
128,290
129,0
130,586
131,0
132,2078
133,0
134,844
135,0
136,1961
137,0
138,0
139,1784
140,0
141,436
142,17
143,136
144,0
145,462
146,0
147,44
148,116
149,0
150,34
151,110
152,0
153,295
154,0
155,461
156,0
157,84
158,150
159,34
160,354
161,0
162,2252
163,0
164,134
165,279
166,0
167,125
168,0
169,41
170,29
171,0
172,25
173,462
174,0
175,23
176,290
177,0
178,586
179,0
180,2078
181,0
182,844
183,0
184,1961
185,0
186,0
187,1784
188,0
189,436
190,17
191,136
192,62
193,45
194,0
195,191
196,40
197,5646
198,350
199,0
200,2422
201,0
202,0
203,1135
204,0
205,864
206,0
207,26
208,606
209,0
210,592
211,0
212,2963
213,0
214,1428
215,0
216,61
217,0
218,34
219,930
220,57
221,34
222,911
223,1003
224,0
225,845
226,0
227,3184
228,0
229,1098
230,0
231,1922
232,0
233,256
234,859
235,439
236,2438
237,0
238,336
239,43
240,0
241,51
242,48
243,759
244,0
245,2740
246,0
247,6768
248,0
249,154
250,0
251,198
252,0
253,276
254,278
255,0
256,1032
257,0
258,624
259,0
260,946
261,0
262,70
263,125
264,261
265,0
266,0
267,3276
268,0
269,0
270,0
271,549
272,0
273,570
274,0
275,167
276,0
277,0
278,164
279,0
280,186
281,0
282,223
283,0
284,0
285,2916
286,0
287,903
288,0
289,49
290,32
291,59
292,17
293,267
294,0
295,307
296,0
297,3523
298,0
299,698
300,0
301,569
302,0
303,286
304,0
305,0
306,5191
307,0
308,1617
309,0
310,14
311,112
312,0
313,41
314,0
315,35
316,29
317,251
318,0
319,1724
320,0
321,3189
322,0
323,240
324,328
325,0
326,0
327,73
328,322
329,0
330,350
331,0
332,2364
333,0
334,0
335,205
336,47
337,55
338,106
339,98
340,52
341,89
342,164
343,3352
344,0
345,309
346,0
347,4015
348,0
349,6494
350,0
351,474
352,237
353,12360
354,0
355,6462
356,0
357,358
358,0
359,157
360,70
361,46
362,14
363,113
364,31
365,56
366,84
367,330
368,0
369,2187
370,0
371,182
372,0
373,137
374,0
375,153
376,0
377,1931
378,0
379,345
380,0
381,1933
382,0
383,15
384,15
385,74
386,0
387,159
388,184
389,0
390,2788
391,0
392,4839
393,0
394,83
395,103
396,0
397,4
398,1206
399,13245
400,0
401,230
402,0
403,1171
404,0
405,53
406,83
407,0
408,40
409,0
410,14
411,15
412,67
413,242
414,0
415,119
416,0
417,186
418,0
419,87
420,0
421,2101
422,58
423,1748
424,205
425,334
426,501
427,173
428,0
429,773
430,161
431,0
432,119
433,0
434,47
435,0
436,232
437,14
438,78
439,14
440,102
441,0
442,2964
443,0
444,199
445,0
446,166
447,0
448,1632
449,0
450,11
451,50
452,0
453,148
454,164
455,88
456,0
457,154
458,0
459,43
460,164
461,0
462,539
463,0
464,1300
465,0
466,1301
467,0
468,1290
469,185
470,343
471,0
472,324
473,2728
474,0
475,1255
476,0
477,153
478,0
479,0
480,0
481,28
482,28
483,32
484,68
485,81
486,325
487,0
488,1134
489,0
490,90
491,0
492,400
493,0
494,78
495,0
496,0
497,1146
498,0
499,977
500,0
501,2370
502,0
503,9
504,54
505,56
506,152
507,0
508,25
509,143
510,0
511,26
512,213
513,0
514,2
515,85
